Functional Group,Peak1,Peak2,Peak3,Peak4,Peak5,Peak6,Peak7,Peak8,Peak9,Peak10,Peak11
amide,6,3.24,2.2,1.48,1.36,1.16,0.93,0,0,0,0
amide,6.86,6.72,3.274,1.498,0,0,0,0,0,0,0
amide,7.52,5.9,5.5,3.57,0,0,0,0,0,0,0
amide,10.7,8.49,8.32,7.91,7.18,0,0,0,0,0,0
amide,8.472,7.82,7.65,7.01,6.44,6.42,0,0,0,0,0
amide,6.4,6.2,3.869,0,0,0,0,0,0,0,0
amide,7.75,7.685,7.68,7.53,7.28,0,0,0,0,0,0
amide,7.15,5.916,5.8,2.547,2.204,0,0,0,0,0,0
amide,7.93,7.58,4.59,3.974,3.918,0,0,0,0,0,0
amide,12.1,7.472,7.189,2.163,0,0,0,0,0,0,0
amide,7.26,6.51,3.188,2.981,2.704,2.475,2.296,2.164,1.892,1.78,1.092
amide,6.12,3.92,2.997,2.769,2.602,1.983,1.72,1.68,1.55,1.5,0
amide,6.6,3.367,1.99,0,0,0,0,0,0,0,0
amide,7.21,6.67,2.03,1.47,0,0,0,0,0,0,0
amide,7.47,6.4,4.352,1.946,0,0,0,0,0,0,0
amide,9.66,9.14,7.35,6.688,1.987,0,0,0,0,0,0
amide,6.1,3.615,2.278,0,0,0,0,0,0,0,0
amide,9.38,9.064,8.739,8.241,7.537,5.84,4.767,0,0,0,0
amide,8.46,8.06,7.91,7.78,7.486,0,0,0,0,0,0
amide,8.14,7.951,7.819,7.62,7.552,0,0,0,0,0,0
amide,6.45,4.577,3.371,3.262,2.862,2.048,1.979,0,0,0,0
amide,10.3,8.7,1.933,1.476,1.28,0.86,0,0,0,0,0
amide,9.92,7.9,7.84,7.73,2.223,0,0,0,0,0,0
amide,8.429,8.12,8.041,7.57,7.54,0,0,0,0,0,0
amide,8.295,8.13,7.91,7.9,7.88,7.411,7.28,0,0,0,0
amide,8.218,7.91,7.432,7.15,7.049,6.947,4.161,1.484,0,0,0
